id,id2,oldid,vcfid,A,state,gencoveid,projid
M0040-01-02222022-01457,M0040-01-02222022-01457,172262D,M0040-01-02222022-01457,0.070474,FL,d3f7091c-f046-4c23-ac59-4fbf003775f5,ceff7dd9-3732-41c4-b870-237342349749
M0101-01-03172022-02242,M0101-01-03172022-02242,172270D,M0101-01-03172022-02242,0.090179,FL,47d38f5a-f20a-4d87-82d5-56bd51622373,ceff7dd9-3732-41c4-b870-237342349749
M0070-01-03092022-01932,M0070-01-03092022-01932,8-HB,8-HB,0.092823,FL,ce94ddc6-86fb-4297-8d7d-9817c56a0256,ceff7dd9-3732-41c4-b870-237342349749
M0024-01-02092022-01057,M0024-01-02092022-01057,1-HB,1-HB,0.094011,FL,522fcafb-99dd-4f6d-90b2-81cbe98f3f0a,ceff7dd9-3732-41c4-b870-237342349749
MAN-049-06-15-21,MAN-049-06-15-21,42-HB,42-HB,0.101983,FL,6ca6d54e-2b2e-46c9-9b62-f88b154abd06,ceff7dd9-3732-41c4-b870-237342349749
M0100-01-03172022-02239,M0100-01-03172022-02239,12-HB,12-HB,0.106323,FL,6e8137b4-54d2-40d1-8907-93fa59274571,ceff7dd9-3732-41c4-b870-237342349749
M0159-01-04262022-03706,M0159-01-04262022-03706,172275D,M0159-01-04262022-03706,0.12364,FL,4dc36008-f337-4719-a188-42610840c919,ceff7dd9-3732-41c4-b870-237342349749
M0197-01-06072022-05145,M0197-01-06072022-05145,30-HB,30-HB,0.131819,FL,cbbd9574-edee-4db3-bec3-87ada79322b7,ceff7dd9-3732-41c4-b870-237342349749
M0172-01-05112022-04207,M0172-01-05112022-04207,23-HB,23-HB,0.142709,FL,8ef4c922-c1c8-4016-aed9-b407ccb82c8e,ceff7dd9-3732-41c4-b870-237342349749
MAN-058-07-09-21,MAN-058-07-09-21,172295D,MAN-058-07-09-21,0.158267,FL,7d404ce2-002e-4207-92aa-764ec3c77bbe,ceff7dd9-3732-41c4-b870-237342349749
M0119-01-03292022-02586,M0119-01-03292022-02586,16-HB,16-HB,0.197278,FL,c57d3522-de10-442d-b128-6349a46132b4,ceff7dd9-3732-41c4-b870-237342349749
M0118-01-03292022-02585,M0118-01-03292022-02585,15-HB,15-HB,0.208598,FL,087be2fa-64e6-4f78-95e1-74b7d16cf9cf,ceff7dd9-3732-41c4-b870-237342349749
M0077-01-03092022-01966,M0077-01-03092022-01966,172265D,M0077-01-03092022-01966,0.209963,FL,7f4b88aa-9210-4354-8473-321956b911a4,ceff7dd9-3732-41c4-b870-237342349749
M0147-01-04202022-03418,M0147-01-04202022-03418,20-HB,20-HB,0.219559,FL,150041df-4fd9-49cf-9a72-ef5cbefe0cf2,ceff7dd9-3732-41c4-b870-237342349749
M0181-02-05192022-04493,M0181-02-05192022-04493,28-HB,28-HB,0.224038,FL,c7c49ae9-8e26-4b15-aded-2e86388a5734,ceff7dd9-3732-41c4-b870-237342349749
10142021-8478,10142021-8478,10142021-8478,10142021-8478,0.242701,FL,07918b50-e0fd-4b21-9f69-3de47e9a54df,ceff7dd9-3732-41c4-b870-237342349749
M0160-01-04272022-03758,M0160-01-04272022-03758,22-HB,22-HB,0.253584,FL,846d7443-abce-43d8-8682-792aa8d79eb0,ceff7dd9-3732-41c4-b870-237342349749
10212021-4274,10212021-4274,36-HB,36-HB,0.26411,FL,c2cb52a4-fd22-40fa-b2b4-868fb4036af9,ceff7dd9-3732-41c4-b870-237342349749
M0033-01-02172022-01335,M0033-01-02172022-01335,172260D,M0033-01-02172022-01335,0.266059,FL,9d6adda5-af7d-4fcf-b9ee-7a9b2cd77c98,ceff7dd9-3732-41c4-b870-237342349749
M0142-01-04142022-03225,M0142-01-04142022-03225,M0142-1-4142022-3225,M0142-1-4142022-3225,0.274751,FL,b3a96dbf-2f21-4da8-a7a0-1338b42b81e8,ceff7dd9-3732-41c4-b870-237342349749
M0230-01-07062022-06162,M0230-01-07062022-06162,M0230-1-7062022-6162,M0230-1-7062022-6162,0.280457,FL,bfa6f298-292f-4cda-bef5-acc719709ab9,ceff7dd9-3732-41c4-b870-237342349749
M0181-01-05192022-04493,M0181-01-05192022-04493,172281D,M0181-01-05192022-04493,0.280841,FL,27108dc3-fec5-40f9-b753-b7f8280a3fb2,ceff7dd9-3732-41c4-b870-237342349749
M0104-01-03182022-02288,M0104-01-03182022-02288,172269D,M0104-01-03182022-02288,0.288145,FL,a8ceff49-578d-48ac-bbc1-94ef65ed9701,ceff7dd9-3732-41c4-b870-237342349749
M0180-02-05192022-04492,M0180-02-05192022-04492,172282D,M0180-02-05192022-04492,0.288186,FL,ad7013f7-c93d-44c6-a787-bef93795b65c,ceff7dd9-3732-41c4-b870-237342349749
M0088-01-03142022-02076,M0088-01-03142022-02076,172268D,M0088-01-03142022-02076,0.294512,FL,c60ae9b3-4b17-4bbb-8ecb-92019014a066,ceff7dd9-3732-41c4-b870-237342349749
